Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,637404847,8177.580943102279,2173331,27.88273457960293,64602,6608893,84.78874565539985,5058,0.06489157496195082,325,
United States of America,Americas,97030505,29314.117,0,0,0,1067123,322.391,0,0,0
India,South-East Asia,44671853,3237.081,2432,0.176,291,530614,38.45,28,0.002,2
France,Europe,36516088,56144.6,217706,334.73,0,155037,238.374,395,0.607,0
Germany,Europe,36373164,43735.244,148414,178.454,0,157495,189.373,66,0.079,0
Brazil,Americas,35104673,16515.228,97464,45.853,0,689341,324.305,421,0.198,0
Republic of Korea,Western Pacific,26959843,52584.887,377987,737.26,22327,30413,59.32,347,0.677,44
Japan,Western Pacific,24470557,19347.914,656348,518.949,0,49178,38.883,840,0.664,0
Italy,Europe,24260660,40677.489,135499,227.189,0,181098,303.644,382,0.64,0
The United Kingdom,Europe,24000101,35353.533,10859,15.996,0,196821,289.929,52,0.077,0
Russian Federation,Europe,21579812,14787.331,38921,26.67,5048,391890,268.538,381,0.261,50
Türkiye,Europe,16919638,20061.448,0,0,0,101203,119.995,0,0,0
Spain,Europe,13595504,28723.332,21783,46.021,0,115901,244.865,260,0.549,0
Viet Nam,Western Pacific,11514174,11828.993,2722,2.796,0,43170,44.35,1,0.001,0
Australia,Western Pacific,10532366,41303.584,0,0,0,15146,59.396,0,0,0
Argentina,Americas,9723924,21515.118,0,0,0,130017,287.675,0,0,0
China,Western Pacific,9626714,654.306,142753,9.703,19130,30166,2.05,382,0.026,45
Netherlands,Europe,8539297,49055.035,3856,22.151,0,22908,131.598,12,0.069,0
Iran (Islamic Republic of),Eastern Mediterranean,7559589,9000.266,293,0.349,63,144633,172.197,7,0.008,0
Mexico,Americas,7125176,5526.273,6243,4.842,0,330495,256.331,51,0.04,0
Indonesia,South-East Asia,6653469,2432.503,40796,14.915,3225,159735,58.399,313,0.114,59
Poland,Europe,6351408,16732.665,2480,6.534,93,118306,311.675,32,0.084,0
Colombia,Americas,6312657,12406.247,0,0,0,141881,278.838,0,0,0
Austria,Europe,5547582,62324.931,29655,333.162,3316,21187,238.028,28,0.315,0
Portugal,Europe,5536455,53773.348,0,0,0,25345,246.166,0,0,0
Greece,Europe,5360506,50011.415,54024,504.023,0,34178,318.867,154,1.437,0
Ukraine,Europe,5336293,12201.771,0,0,0,110505,252.677,0,0,0
Malaysia,Western Pacific,4986294,15405.964,18995,58.688,2022,36652,113.242,57,0.176,13
Chile,Americas,4895292,25608.08,18044,94.391,0,62288,325.839,101,0.528,0
Israel,Europe,4717060,54497.576,10339,119.449,1651,11834,136.722,9,0.104,0
Thailand,South-East Asia,4707244,6743.905,4914,7.04,0,33180,47.536,74,0.106,0
Belgium,Europe,4633112,40209.47,3444,29.89,0,33042,286.762,15,0.13,0
Canada,Americas,4392747,11638.835,0,0,0,47468,125.769,0,0,0
Switzerland,Europe,4298022,49661.603,2803,32.387,0,13709,158.401,0,0,0
Peru,Americas,4203229,12747.93,14537,44.089,0,217303,659.056,62,0.188,0
Czechia,Europe,4171244,39005.683,3145,29.409,70,41800,390.876,28,0.262,1
South Africa,Africa,4039858,6811.579,2637,4.446,0,102395,172.648,0,0,0
Philippines,Western Pacific,4033682,3681.002,7725,7.05,1326,64594,58.946,118,0.108,70
Denmark,Europe,3349672,57527.191,4089,70.224,0,7513,129.028,43,0.738,0
Romania,Europe,3296834,17056.556,2602,13.462,2387,67276,348.06,23,0.119,23
Sweden,Europe,2626686,25433.681,2088,20.218,0,21034,203.668,0,0,0
Iraq,Eastern Mediterranean,2463296,6124.175,327,0.813,0,25363,63.057,1,0.002,0
Serbia,Europe,2421591,34960.216,3958,57.141,317,17371,250.783,27,0.39,6
Singapore,Western Pacific,2163872,36987.103,10337,176.691,1278,1702,29.092,2,0.034,1
Hungary,Europe,2162093,22130.992,4098,41.947,0,48245,493.832,61,0.624,0
Bangladesh,South-East Asia,2036556,1236.604,163,0.099,29,29432,17.871,1,0.001,1
New Zealand,Western Pacific,1918917,39793.121,24759,513.434,0,2212,45.871,30,0.622,0
Slovakia,Europe,1855704,34000.498,667,12.221,40,20729,379.8,17,0.311,0
Georgia,Europe,1805698,45264.948,0,0,0,16881,423.17,0,0,0
Jordan,Eastern Mediterranean,1746997,17122.161,0,0,0,14122,138.408,0,0,0
Ireland,Europe,1678827,33817.047,454,9.145,0,8170,164.57,29,0.584,0
Pakistan,Eastern Mediterranean,1575096,713.06,200,0.091,131,30630,13.866,0,0,0
Kazakhstan,Europe,1486854,7918.609,756,4.026,84,19053,101.471,0,0,0
Norway,Europe,1468473,27358.195,1019,18.984,54,4384,81.676,0,0,0
Finland,Europe,1394254,25234.033,2935,53.119,0,7265,131.486,0,0,0
Bulgaria,Europe,1286584,18508.053,1336,19.219,46,38027,547.034,30,0.432,0
Lithuania,Europe,1274885,45627.915,1795,64.243,22,9432,337.57,13,0.465,1
Morocco,Eastern Mediterranean,1268396,3436.404,1081,2.929,101,16284,44.117,1,0.003,0
Slovenia,Europe,1254808,59870.764,6818,325.308,398,8563,408.567,8,0.382,0
Croatia,Europe,1253067,30877.675,1652,40.708,181,17298,426.252,35,0.862,6
Lebanon,Eastern Mediterranean,1220409,17880.285,334,4.893,24,10735,157.279,7,0.103,1
Guatemala,Americas,1149459,6415.979,1206,6.732,0,19940,111.3,3,0.017,0
Tunisia,Eastern Mediterranean,1146991,9704.949,192,1.625,0,29268,247.643,2,0.017,0
Costa Rica,Americas,1143597,22449.362,0,0,0,9031,177.283,0,0,0
Cuba,Americas,1111360,9811.933,23,0.203,0,8530,75.309,0,0,0
Bolivia (Plurinational State of),Americas,1110324,9511.882,154,1.319,0,22244,190.559,0,0,0
United Arab Emirates,Eastern Mediterranean,1043931,10554.991,1358,13.73,133,2348,23.74,0,0,0
Ecuador,Americas,1009958,5724.394,0,0,0,35940,203.706,0,0,0
Puerto Rico,Americas,1005634,35151.544,3553,124.194,0,5350,187.007,30,1.049,0
Nepal,South-East Asia,1000878,3435.098,23,0.079,0,12019,41.25,0,0,0
Panama,Americas,995726,23077.167,0,0,0,8519,197.438,0,0,0
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0
Uruguay,Americas,992887,28582.734,0,0,0,7530,216.77,0,0,0
Mongolia,Western Pacific,992101,30262.759,1370,41.79,0,2134,65.095,1,0.031,0
Latvia,Europe,962085,50432.333,2250,117.945,0,6087,319.08,4,0.21,0
Saudi Arabia,Eastern Mediterranean,825436,2370.997,349,1.002,34,9458,27.167,11,0.032,1
Azerbaijan,Europe,824232,8129.182,278,2.742,39,9976,98.391,4,0.039,0
Paraguay,Americas,718071,10067.538,0,0,0,19611,274.951,0,0,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703036,13781.199,0,0,0,5708,111.891,0,0,0
Bahrain,Eastern Mediterranean,695914,40898.227,959,56.36,148,1536,90.269,2,0.118,0
Sri Lanka,South-East Asia,671642,3136.572,120,0.56,4,16800,78.456,7,0.033,0
Kuwait,Eastern Mediterranean,662672,15517.176,41,0.96,0,2570,60.179,0,0,0
Dominican Republic,Americas,648456,5977.704,0,0,0,4384,40.413,0,0,0
Myanmar,South-East Asia,633167,1163.7,122,0.224,0,19488,35.817,1,0.002,0
Cyprus,Europe,614237,69170.444,4214,474.547,0,1226,138.062,8,0.901,0
Estonia,Europe,608796,45809.405,86,6.471,0,2781,209.259,12,0.903,0
Republic of Moldova,Europe,594661,14741.36,0,0,0,11913,295.318,0,0,0
Venezuela (Bolivarian Republic of),Americas,546937,1923.4,300,1.055,0,5827,20.492,2,0.007,0
Egypt,Eastern Mediterranean,515442,503.684,11,0.011,11,24798,24.232,0,0,0
Libya,Eastern Mediterranean,507078,7379.66,8,0.116,0,6437,93.68,0,0,0
Ethiopia,Africa,494314,429.974,0,0,0,7572,6.586,0,0,0
Réunion,Africa,480323,53648.672,893,99.742,0,902,100.747,0,0,0
Qatar,Eastern Mediterranean,477680,16580.049,1783,61.887,260,685,23.776,1,0.035,0
Honduras,Americas,457676,4620.84,168,1.696,0,11043,111.494,0,0,0
Armenia,Europe,445737,15042.248,106,3.577,106,8710,293.936,1,0.034,1
Bosnia and Herzegovina,Europe,400447,12205.717,76,2.316,0,16199,493.749,8,0.244,0
Oman,Eastern Mediterranean,399119,7815.708,92,1.802,0,4628,90.627,0,0,0
North Macedonia,Europe,344710,16545.709,0,0,0,9568,459.254,0,0,0
Kenya,Africa,341319,634.761,289,0.537,0,5684,10.571,0,0,0
Zambia,Africa,333721,1815.284,0,0,0,4019,21.861,0,0,0
Albania,Europe,332216,11544.096,74,2.571,8,3594,124.887,0,0,0
Botswana,Africa,326353,13877.754,0,0,0,2782,118.301,0,0,0
Luxembourg,Europe,306343,48928.14,919,146.78,0,1158,184.952,2,0.319,0
Montenegro,Europe,283636,45160.51,141,22.45,8,2789,444.064,0,0,0
Kosovo[1],Europe,272165,15156.772,11,0.613,0,3192,177.761,0,0,0
Mauritius,Africa,271867,21377.091,0,0,0,1034,81.304,0,0,0
Algeria,Africa,271028,618.065,5,0.011,0,6881,15.692,0,0,0
Nigeria,Africa,266283,129.176,0,0,0,3155,1.531,0,0,0
Zimbabwe,Africa,257893,1735.143,0,0,0,5606,37.718,0,0,0
Brunei Darussalam,Western Pacific,253406,57924.152,0,0,0,140,32.002,3,0.686,0
Uzbekistan,Europe,246248,735.745,740,2.211,137,1637,4.891,0,0,0
Mozambique,Africa,230590,737.76,0,0,0,2224,7.116,0,0,0
